y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
GRASIM,HDFCBANK,-1.3632102355751985,1.2332470861833247,0.0011997378001985396,13.992237772827657,0.9843604188255881,25,2.427922648349575e-14,0.04979044052192886,False,Cement,Bank,2018
ITC,ULTRACEMCO,-0.09864705687938191,0.6660339049828151,0.0012855552158686403,17.513851200907034,0.8595555400970746,17,4.9741516020745505e-14,0.06486655004311473,False,Consumer,Cement,2018
SHREECEM,ULTRACEMCO,0.13295184881271827,1.1586880979820666,4.811944901960596e-06,7.851905991502019,0.9384571349766524,31,1.43541850951007e-14,0.04597506943014797,True,Cement,Cement,2019
HDFC,HDFCBANK,2.164372229536872,0.7722000724113501,5.5401059534169e-06,9.860688488720644,0.9859390072525119,25,-1.7951542662722108e-14,0.03227572883311514,False,NBFC,Bank,2019
HEROMOTOCO,EICHERMOT,3.3627042172355583,0.5955022788101197,2.9080771627907948e-05,12.034257872761778,0.9086131865392146,29,3.176295205689495e-14,0.04685575338625152,True,Auto,Auto,2019
LT,HDFC,0.17625670062946014,0.9262504839625072,3.532877009978431e-05,10.82402681648492,0.965498188533735,20,5.937519729262517e-14,0.04825245009480714,False,Infrastructure,NBFC,2019
HCLTECH,RELIANCE,3.878898131081343,0.3205726020447244,0.00010391567052618722,11.514359476453649,0.9195598017192027,18,3.495968946430771e-14,0.04551219187411027,False,IT,Energy,2019
SHREECEM,BAJAJ-AUTO,-0.07555771724472926,1.2478687528300005,0.0002327590906745635,15.76822034863207,0.8231269405527887,20,1.3387527418210142e-13,0.07558658704067843,False,Cement,Auto,2019
ULTRACEMCO,BAJAJ-AUTO,0.2653265980581332,1.0199611316367028,0.0002929968715092738,15.896162701608024,0.8306797695254623,16,-5.5020068454227866e-14,0.06002248184644747,False,Cement,Auto,2019
ULTRACEMCO,SBIN,5.113738432044723,0.5619979625176745,0.0006506646123230148,17.97944296990445,0.8433090442014481,19,-7.46657292137854e-14,0.05793945078588411,False,Cement,Bank,2019
