pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
JSWSTEEL/HCLTECH,2019-09-11,2019-10-04,16,1,-2.9648020029621063,-3.6512372606113925,-0.0346867097984444,stop
JSWSTEEL/HCLTECH,2019-10-09,2019-10-11,2,1,-3.276796011419756,-3.5836518929402104,-0.01771782303025986,stop
JSWSTEEL/HCLTECH,2019-10-22,2019-10-23,1,1,-3.286871616095376,-3.6661511729997676,-0.020955483515029377,stop
JSWSTEEL/HCLTECH,2019-11-22,2020-01-03,29,1,-3.2454402099084865,-3.537926076225617,-0.01707541942200987,stop
JSWSTEEL/HCLTECH,2020-01-09,2020-01-14,3,1,-3.279921391093182,-3.606191936002522,-0.01858574485480169,stop
JSWSTEEL/HCLTECH,2020-02-28,2020-03-03,2,1,-3.0046239993685573,-3.6400501645979055,-0.032406376440374446,stop
JSWSTEEL/HCLTECH,2020-03-09,2020-03-12,2,1,-3.3641106578434457,-2.6139776735995337,0.029534281552732154,eow
SHREECEM/POWERGRID,2019-04-26,2019-07-24,60,-1,2.1034263416232624,1.4305688973854578,0.022421748600867344,time
SHREECEM/POWERGRID,2019-09-23,2019-10-03,7,-1,2.0746206569134564,0.2272659950824029,0.06854187476045667,target
SHREECEM/POWERGRID,2019-11-26,2020-01-08,30,-1,2.449883179099061,3.5686316662225006,-0.04793098646305376,stop
SHREECEM/POWERGRID,2020-01-20,2020-01-24,4,-1,3.1445338519956683,3.59673680477673,-0.021757093775614328,stop
LT/TITAN,2019-12-04,2020-02-26,58,1,-2.177965430967824,-3.541801270965682,-0.06537923414184893,stop
LT/HDFCBANK,2019-11-14,2019-12-11,19,1,-2.197732388147994,-3.661186664111965,-0.04663329125411971,stop
LT/HDFCBANK,2019-12-13,2019-12-23,6,1,-3.198640091108322,-3.5409279184108433,-0.013971515252511653,stop
LT/HDFCBANK,2019-12-27,2020-02-26,42,1,-3.412363805362437,-3.933966527507582,-0.019195309575017177,stop
SHREECEM/SBIN,2019-08-07,2019-11-08,60,-1,2.1554267127313307,1.1946473058035765,0.03697851649982454,time
SHREECEM/SBIN,2020-01-07,2020-01-30,17,-1,2.4297470469050753,3.5932081133771767,-0.053623158204217806,stop
SHREECEM/SBIN,2020-01-31,2020-02-03,1,-1,3.071791967815433,3.860855805698702,-0.03765461964209813,stop
SHREECEM/SBIN,2020-02-24,2020-02-27,3,-1,3.488078336434913,3.506717766899165,-0.004794996440722189,stop
SHREECEM/SBIN,2020-02-28,2020-03-02,1,-1,3.4071796959655116,4.138834296138586,-0.03520603948125548,stop
HDFC/BAJFINANCE,2019-04-23,2019-06-03,27,1,-2.101357432219635,-0.29737497584291245,0.052590130301694696,target
HDFC/BAJFINANCE,2019-09-17,2019-09-30,9,1,-2.0663873126857357,-4.0212008910399355,-0.06532163576400371,stop
HDFC/BAJFINANCE,2019-10-11,2019-11-27,31,1,-3.477064102403288,-0.4501424959530445,0.09095318954823754,target
HDFC/BAJFINANCE,2020-02-24,2020-03-12,12,1,-2.336270604302088,-4.461178809804158,-0.0706574288477401,stop
HDFC/BAJAJFINSV,2019-07-18,2019-09-17,39,-1,2.3301683273959775,0.3436187061903213,0.06805884176607976,target
HDFC/BAJAJFINSV,2020-01-14,2020-02-27,31,-1,2.0989528651128473,0.47027650946265676,0.05507757377272378,target
SHREECEM/IOC,2019-04-15,2019-06-25,46,-1,2.1082242827664053,3.5729458369864533,-0.07740483857987619,stop
SHREECEM/IOC,2019-07-03,2019-07-04,1,-1,3.4460207114659136,3.506314656555224,-0.007021644143812445,stop
SHREECEM/IOC,2019-07-09,2019-07-10,1,-1,3.453496509748559,3.582533935966441,-0.010466738620044555,stop
SHREECEM/IOC,2019-07-22,2019-07-25,3,-1,3.420525299195755,3.6384229442229117,-0.014919987771102781,stop
SHREECEM/IOC,2019-07-31,2019-08-06,4,-1,3.2915795645725408,3.632032084038321,-0.021061851901814477,stop
SHREECEM/IOC,2019-08-16,2019-11-18,60,-1,3.414735117885607,3.3429531943624875,-0.000402633323728677,time
SHREECEM/IOC,2019-11-18,2019-11-20,2,-1,3.3429531943624875,3.70932655924978,-0.03425205372585051,stop
SBIN/POWERGRID,2019-05-15,2019-08-01,55,-1,2.12910099817745,-0.1331984857011117,0.08271140934607761,target
SBIN/POWERGRID,2019-10-03,2019-10-30,17,1,-2.085430996609199,-0.4967300791121957,0.056893129564523234,target
SBIN/POWERGRID,2019-11-28,2020-01-20,36,-1,2.095758916400717,0.1868373596114171,0.0691668285741404,target
SBIN/POWERGRID,2020-02-26,2020-03-03,4,-1,2.0487065835425526,0.07328453928263871,0.07171571789311453,target
HCLTECH/BRITANNIA,2019-04-01,2019-04-30,18,-1,2.2030409037044714,3.728997723548897,-0.06439237914593868,stop
HCLTECH/BRITANNIA,2019-05-06,2019-07-30,60,-1,3.4866978765139245,1.6717786079277497,0.06782856759924624,time
