y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
EICHERMOT,UPL,2.5206121815121376,0.8472690037790354,0.0005184007435275965,20.212229887464016,0.9274091225699878,18,4.5924463526558065e-15,0.10281289297341613,False,Auto,Chemicals,2017-08-21
KOTAKBANK,INDUSINDBK,2.262137006434283,0.6253628025413932,0.0007208502475515748,14.705821276236602,0.9670065612171956,19,-7.02553829339517e-15,0.04257562886632533,True,Bank,Bank,2017-08-21
ITC,HEROMOTOCO,0.03752327514308407,0.673658861988564,0.0007762282439587644,16.991367197696807,0.8428122914860187,16,-2.129513496757205e-14,0.06321189044395947,False,Consumer,Auto,2017-08-21
EICHERMOT,BAJFINANCE,4.23666795355673,0.4954059495829509,0.0008438551923476976,21.626046470713895,0.9476590541235156,17,-1.991704861002146e-14,0.08776004797303727,False,Auto,NBFC,2017-08-21
EICHERMOT,INDUSINDBK,0.48357608887689574,1.0104030857891084,0.0010830515856900412,20.641047367587216,0.9499851438218457,17,-1.4792400109053276e-14,0.0858390228183817,False,Auto,Bank,2017-08-21
EICHERMOT,KOTAKBANK,-2.656296639196639,1.5372044686888247,0.0011221264638743538,17.869050962720703,0.9346659305170378,18,-1.107638378430262e-14,0.09772202288923945,False,Auto,Bank,2017-08-21
EICHERMOT,BAJAJFINSV,3.1925771130699085,0.5549423888939882,0.0017534121762356899,26.478373240705075,0.9238809476953453,15,2.1098936824595965e-14,0.10518538109348215,False,Auto,NBFC,2017-08-21
KOTAKBANK,HDFCBANK,1.8272398368246194,0.7531176592004034,1.6614532788508965e-06,9.04077969839127,0.978746843040484,29,4.372398974335921e-14,0.032668685101880125,True,Bank,Bank,2017-11-21
ULTRACEMCO,SHREECEM,1.6866195999213263,0.6753814977218784,1.1225285226988341e-05,8.863596823989447,0.9663648779585645,40,-4.006319086004493e-14,0.043029628187257654,True,Cement,Cement,2017-11-21
KOTAKBANK,GRASIM,2.7526710787235613,0.5955933714759141,4.296307122581628e-05,13.205425662119126,0.9500553490310725,21,1.74804321517436e-14,0.04971561003200618,False,Bank,Cement,2017-11-21
HINDUNILVR,TITAN,2.901290833682953,0.639832606739612,4.3276333378597755e-05,13.769138598009105,0.9006817639061269,22,1.0927179208506434e-14,0.06196044629084826,True,Consumer,Consumer,2017-11-21
M&M,ASIANPAINT,4.432870020808961,0.29159465672462825,0.0002367202005520806,13.374695220884808,0.7181999131580185,20,5.208884470138155e-14,0.04695822984904045,False,Auto,Consumer,2017-11-21
BAJFINANCE,JSWSTEEL,0.32675916133708055,1.305127218907856,0.0003325807491121809,34.03972514393498,0.9178368309882736,14,1.2998420681960562e-14,0.2045038315219546,False,NBFC,Metals & Mining,2017-11-21
ASIANPAINT,HDFC,3.2148663917506304,0.5164765627507232,0.0004915476843439442,16.47879738721233,0.9164598827873812,17,1.8370960249802722e-14,0.0665070221477954,False,Consumer,NBFC,2017-11-21
ASIANPAINT,JSWSTEEL,4.886556230731054,0.3987403941179858,0.0005349950003136047,23.534340493647473,0.8691401297592851,16,-1.0021378201113847e-15,0.08220424970824579,False,Consumer,Metals & Mining,2017-11-21
ASIANPAINT,HEROMOTOCO,0.12339233336988964,0.8532484893372618,0.0006371261394947308,23.95422633341752,0.8411895739399073,20,-1.7100959096765902e-14,0.08987912902136647,False,Consumer,Auto,2017-11-21
NTPC,POWERGRID,1.7661375348233588,0.6057949083631817,0.0006526094457186259,12.212534397991488,0.9373792506365937,21,4.37263394217182e-14,0.04256423862650959,True,Utilities,Utilities,2017-11-21
SHREECEM,ULTRACEMCO,-1.069914757453676,1.3043688764548222,5.0013910889612265e-06,8.834890525291064,0.9626610165430319,26,-7.387858696352205e-14,0.06008588452685155,True,Cement,Cement,2018-02-21
KOTAKBANK,HDFCBANK,1.9608509944309955,0.7321304195640572,9.101027520602586e-06,8.641862579481213,0.9853570613690029,34,4.8321135452733006e-15,0.028579552753628498,True,Bank,Bank,2018-02-21
HEROMOTOCO,BAJFINANCE,5.575713801413605,0.3373322653993605,5.0705356438261464e-05,14.69012344153583,0.9572817932270266,25,3.1038076283144985e-14,0.05038360803298681,False,Auto,NBFC,2018-02-21
ICICIBANK,LT,-0.5436968203234676,0.8856762353291485,8.024600038129065e-05,12.400375313303288,0.9216041793643308,21,3.514178953712982e-14,0.05794981276825053,False,Bank,Infrastructure,2018-02-21
HCLTECH,ADANIPORTS,4.397759308811183,0.27283406752452216,0.0001516441642935206,11.86535542480942,0.7695006688527408,22,8.449443378946164e-15,0.04967356191275893,False,IT,Infrastructure,2018-02-21
KOTAKBANK,GRASIM,2.894277640334731,0.57473013434888,0.0001924761551757308,11.52724003652432,0.9690922170693556,23,-3.052232188334557e-15,0.041351279216388405,False,Bank,Cement,2018-02-21
ICICIBANK,ADANIPORTS,2.0146659324119733,0.6155404922742964,0.0002621538833541446,13.655735698658566,0.9043957638189832,23,-1.1607411093435498e-14,0.06370753271808828,False,Bank,Infrastructure,2018-02-21
SHREECEM,HEROMOTOCO,0.01893651941560548,1.2117475853805137,0.00026412716901848276,13.139109601159733,0.9512609679478831,22,-1.9413042602017023e-14,0.0684486195907459,False,Cement,Auto,2018-02-21
HCLTECH,ICICIBANK,3.9344596455790275,0.3653103862130709,0.0003815800705668951,12.970031198783278,0.7012462178687634,21,2.0900389003260883e-14,0.05545049084501286,False,IT,Bank,2018-02-21
UPL,ULTRACEMCO,-5.534014122770255,1.4107230295698385,0.0006108160880928903,17.766146786692374,0.91352402017805,14,5.361966015226682e-15,0.10290299449120707,False,Chemicals,Cement,2018-02-21
ULTRACEMCO,SHREECEM,1.0913807993956752,0.7381242140210867,2.0234069808940953e-05,8.95809961826348,0.9627653624110639,29,7.618597111205518e-14,0.04333639241265176,True,Cement,Cement,2018-05-25
